SrNo,Name,Country,Role,BasePrice,IsOverseas,Status,SoldPrice,SoldToTeam,BattingPositionGroup,Set,Position
208,Swapnil Singh,India,All-Rounder,0.3,No,AVAILABLE,,,,10,7
209,Tim David,Overseas,All-Rounder,2,Yes,AVAILABLE,,,,5,6
210,Romario Shepherd,Overseas,All-Rounder,1.5,Yes,AVAILABLE,,,,5,7
211,Jacob Bethell,Overseas,All-Rounder,0.75,Yes,AVAILABLE,,,,5,7
212,Venkatesh Iyer,India,All-Rounder,1.5,No,AVAILABLE,,,,5,5
213,Satvik Deswal,India,All-Rounder,0.3,No,AVAILABLE,,,,10,8
214,Mangesh Yadav,India,All-Rounder,0.3,No,AVAILABLE,,,,10,8
215,Vicky Ostwal,India,All-Rounder,0.3,No,AVAILABLE,,,,10,8
216,Vihaan Malhotra,India,All-Rounder,0.3,No,AVAILABLE,,,,10,4
217,Kanishk Chouhan,India,All-Rounder,0.3,No,AVAILABLE,,,,10,7
218,Josh Hazlewood,Overseas,Bowler,2,Yes,AVAILABLE,,,,2,9
219,Rasikh Dar,India,Bowler,0.3,No,AVAILABLE,,,,7,10
220,Suyash Sharma,India,Bowler,0.3,No,AVAILABLE,,,,8,11
221,Bhuvneshwar Kumar,India,Bowler,2,No,AVAILABLE,,,,0,9
222,Nuwan Thushara,Overseas,Bowler,0.75,Yes,AVAILABLE,,,,7,11
223,Abhinandan Singh,India,Bowler,0.3,No,AVAILABLE,,,,7,10
224,Jacob Duffy,New Zealand,Bowler,1,Yes,AVAILABLE,,,,2,10
225,Yash Dayal,India,Bowler,0.75,No,AVAILABLE,,,,2,11
226,Ishan Kishan,India,Wicket Keeper,2,No,AVAILABLE,,,,4,3
227,Aniket Verma,India,Batsman,0.3,No,AVAILABLE,,,,6,5
228,Smaran Ravichandran,India,Batsman,0.3,No,AVAILABLE,,,,6,5
229,Salil Arora,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9,2
230,Heinrich Klaasen,Overseas,Wicket Keeper,2,Yes,AVAILABLE,,,,4,4
231,Travis Head,Overseas,Batsman,2,Yes,AVAILABLE,,,,1,1
232,Harshal Patel,India,All-Rounder,1,No,AVAILABLE,,,,5,8
233,Kamindu Mendis,Overseas,All-Rounder,0.75,Yes,AVAILABLE,,,,5,7
234,Harsh Dubey,India,All-Rounder,0.3,No,AVAILABLE,,,,10,6
235,Brydon Carse,Overseas,All-Rounder,0.75,Yes,AVAILABLE,,,,5,8
236,Shivang Kumar,India,All-Rounder,0.3,No,AVAILABLE,,,,10,8
237,Krains Fuletra,India,All-Rounder,0.3,No,AVAILABLE,,,,10,8
238,Liam Livingstone,England,All-Rounder,1,Yes,AVAILABLE,,,,5,5
239,Jack Edwards,Australia,All-Rounder,0.3,Yes,AVAILABLE,,,,10,5
240,Abhishek Sharma,India,All-Rounder,2,No,AVAILABLE,,,,5,1
241,Nitish Kumar Reddy,India,All-Rounder,1.5,No,AVAILABLE,,,,5,6
242,Pat Cummins,Overseas,Bowler,2,Yes,AVAILABLE,,,,0,8
243,Zeeshan Ansari,India,Bowler,0.3,No,AVAILABLE,,,,8,9
244,Jaydev Unadkat,India,Bowler,0.75,No,AVAILABLE,,,,2,9
245,Eshan Malinga,Overseas,Bowler,0.3,Yes,AVAILABLE,,,,2,11
246,Sakib Hussain,India,Bowler,0.3,No,AVAILABLE,,,,7,10
247,Onkar Tarmale,India,Bowler,0.3,No,AVAILABLE,,,,7,10
248,Amit Kumar,India,Bowler,0.3,No,AVAILABLE,,,,8,11
249,Praful Hinge,India,Bowler,0.3,No,AVAILABLE,,,,7,10
250,Shivam Mavi,India,Bowler,0.75,No,AVAILABLE,,,,2,9
